,intake_number,time_in_shelter_days,is_sterilized,is_sterilized_in_shelter,hair_length,condition_Aged,condition_Feral,condition_Injured,condition_Normal,condition_Nursing,condition_Other,condition_Pregnant,condition_Sick,in_type_Euthanasia Request,in_type_Owner Surrender,in_type_Public Assist,in_type_Stray,sex_male,colour_Black,colour_Blue,colour_Brown,colour_Calico,colour_Chocolate,colour_Orange,colour_Torbie,colour_White,pattern_Multicolor,pattern_Plain,pattern_Point,pattern_Tabby,age_upon_intake_days,in_month_1,in_month_2,in_month_3,in_month_4,in_month_5,in_month_6,in_month_7,in_month_8,in_month_9,in_month_10,in_month_11,in_month_12,age_group_0-1 months,age_group_1-2 years,age_group_10+ years,age_group_2-5 months,age_group_3-5 years,age_group_6-10 years,age_group_6-11 months
9721,0.0,2.4215277777777784,1,1,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.03287671232876712,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9722,0.0,65.18680555555554,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.19999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9723,0.0,61.12083333333333,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.001095890410958904,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9724,0.0,61.136111111111106,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.001095890410958904,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9725,0.0,57.34722222222222,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.001095890410958904,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9726,0.0,9.866666666666667,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.01643835616438356,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9727,0.0,104.02152777777779,1,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.49999999999999994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9728,0.0,4.086111111111111,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00821917808219178,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9729,0.0,4.1402777777777775,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0.00821917808219178,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9730,0.0,4.081944444444445,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.00821917808219178,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
