	animal_id_intake	intake_number	breed	mixed_breed	dog_size	avg_height	avg_weight	avg_lifespan	Adaptability	All Around Friendliness	Health And Grooming Needs	Trainability	Physical Needs
89	A333781	1.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
90	A334065	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
91	A335182	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
92	A335778	1.0	Rottweiler	True	5	62.23	48.38	10.0	2.0	3.67	4.0	4.0	4.0
93	A337187	1.0	Golden Retriever	True	5	57.15	29.25	11.0	2.8	5.0	3.6	4.2	4.0
94	A337603	1.0	Catahoula Bulldog	True	5	63.5	39.38	12.0	1.6	3.0	2.8	3.4	5.0
95	A337686	1.0	Border Collie	True	4	50.8	16.88	14.0	2.8	4.0	2.4	3.6	4.33
96	A337686	2.0	Border Collie	True	4	50.8	16.88	14.0	2.8	4.0	2.4	3.6	4.33
97	A337859	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
98	A338231	1.0	Border Collie	True	4	50.8	16.88	14.0	2.8	4.0	2.4	3.6	4.33
99	A338231	2.0	Border Collie	True	4	50.8	16.88	14.0	2.8	4.0	2.4	3.6	4.33
100	A338643	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
101	A338821	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
102	A339103	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
103	A339523	1.0	Blue Lacy	True	4	53.34	16.88	14.0	2.4	3.0	3.2	4.8	5.0
104	A339803	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
105	A342475	1.0	Dachshund	True	3	21.59	10.8	14.0	3.4	4.0	2.8	4.0	3.0
106	A342480	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
107	A342659	1.0	Catahoula Bulldog	True	5	63.5	39.38	12.0	1.6	3.0	2.8	3.4	5.0
108	A345209	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
109	A345209	2.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
110	A346010	1.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
111	A346884	1.0	Bernese Mountain Dog	False	5	64.77	41.62	8.0	2.6	4.33	3.4	4.4	3.33
112	A347684	1.0	Chihuahua	False	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
113	A347684	2.0	Chihuahua	False	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
114	A348272	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
115	A349317	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
116	A349334	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
117	A349480	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
118	A349733	1.0	Chow Chow	True	5	46.99	24.75	14.0	3.4	1.33	2.2	2.2	2.0
